number,surah,index,riwayah,ayah,canonical_rasm_rasm_uthmani,riwayah_rasm_uthmani,same_rasm,status
76799,94,10,warsh,3,ظَهۡرَكَ,ظَهْرَكَ,1,identical
76799,94,10,qalun,3,ظَهۡرَكَ,ظَهْرَكَ,1,identical
76800,94,11,warsh,4,وَرَفَعۡنَا,وَرَفَعْنَا,1,identical
76800,94,11,qalun,4,وَرَفَعۡنَا,وَرَفَعْنَا,1,identical
76802,94,13,warsh,4,ذِكۡرَكَ,ذِكْرَكَ,1,identical
76802,94,13,qalun,4,ذِكۡرَكَ,ذِكْرَكَ,1,identical
76805,94,16,warsh,5,ٱلۡعُسۡرِ,ࡰ۬لْعُسْرِ,1,diacritic_variant
76805,94,16,qalun,5,ٱلۡعُسۡرِ,ࡰ۬لْعُسْرِ,1,diacritic_variant
76805,94,16,duri,5,ٱلۡعُسۡرِ,اَ۬لۡعُسۡرِ,1,diacritic_variant
76805,94,16,susi,5,ٱلۡعُسۡرِ,ࡱ۬لۡعُسۡرِ,1,diacritic_variant
76806,94,17,warsh,5,يُسۡرًا,يُسْراً,1,identical
76806,94,17,qalun,5,يُسۡرًا,يُسْراً,1,identical
76807,94,18,warsh,6,إِنَّ,ࡴنَّ,1,identical
76809,94,20,warsh,6,ٱلۡعُسۡرِ,ࡰ۬لْعُسْرِ,1,diacritic_variant
76809,94,20,qalun,6,ٱلۡعُسۡرِ,ࡰ۬لْعُسْرِ,1,diacritic_variant
76809,94,20,duri,6,ٱلۡعُسۡرِ,اَ۬لۡعُسۡرِ,1,diacritic_variant
76809,94,20,susi,6,ٱلۡعُسۡرِ,ࡱ۬لۡعُسۡرِ,1,diacritic_variant
76810,94,21,warsh,6,يُسۡرࣰا,يُسْراࣰ,1,diacritic_variant
76810,94,21,qalun,6,يُسۡرࣰا,يُسْراࣰ,1,diacritic_variant
76810,94,21,duri,6,يُسۡرࣰا,يُسۡرٗا,1,diacritic_variant
76812,94,23,warsh,7,فَرَغۡتَ,فَرَغْتَ,1,identical
76812,94,23,qalun,7,فَرَغۡتَ,فَرَغْتَ,1,identical
76813,94,24,warsh,7,فَٱنصَبۡ,فَانصَبْ,1,diacritic_variant
76813,94,24,qalun,7,فَٱنصَبۡ,فَانصَبْ,1,diacritic_variant
76813,94,24,duri,7,فَٱنصَبۡ,فَاَنصَبۡ,1,diacritic_variant
76813,94,24,susi,7,فَٱنصَبۡ,فَاَنصَبۡ,1,diacritic_variant
76816,94,27,warsh,8,فَٱرۡغَب,فَارْغَبْ,1,diacritic_variant
76816,94,27,qalun,8,فَٱرۡغَب,فَارْغَب,1,diacritic_variant
76816,94,27,duri,8,فَٱرۡغَب,فَاَرۡغَب,1,diacritic_variant
76816,94,27,susi,8,فَٱرۡغَب,فَاَرۡغَب,1,diacritic_variant
76817,95,1,warsh,1,وَٱلتِّينِ,وَالتِّينِ,1,diacritic_variant
76817,95,1,qalun,1,وَٱلتِّينِ,وَالتِّينِ,1,diacritic_variant
76817,95,1,duri,1,وَٱلتِّينِ,وَاَلتِّينِ,1,diacritic_variant
76817,95,1,susi,1,وَٱلتِّينِ,وَࡱلتِّينِ,1,diacritic_variant
76818,95,2,warsh,1,وَٱلزَّيۡتُونِ,وَالزَّيْتُونِ,1,diacritic_variant
76818,95,2,qalun,1,وَٱلزَّيۡتُونِ,وَالزَّيْتُونِ,1,diacritic_variant
76818,95,2,duri,1,وَٱلزَّيۡتُونِ,وَاَلزَّيۡتُونِ,1,diacritic_variant
76818,95,2,susi,1,وَٱلزَّيۡتُونِ,وَࡱلزَّيۡتُونِ,1,diacritic_variant
76822,95,6,warsh,3,ٱلۡبَلَدِ,ࡰ۬لْبَلَدِ,1,diacritic_variant
76822,95,6,qalun,3,ٱلۡبَلَدِ,ࡰ۬لْبَلَدِ,1,diacritic_variant
76822,95,6,duri,3,ٱلۡبَلَدِ,اَ۬لۡبَلَدِ,1,diacritic_variant
76822,95,6,susi,3,ٱلۡبَلَدِ,ࡱ۬لۡبَلَدِ,1,diacritic_variant
76823,95,7,warsh,3,ٱلۡأَمِينِ,ࡴ۬لَامِينِ,1,diacritic_variant
76823,95,7,qalun,3,ٱلۡأَمِينِ,ࡴ۬لْأَمِينِ,1,diacritic_variant
76823,95,7,duri,3,ٱلۡأَمِينِ,اِ۬لۡأَمِينِ,1,diacritic_variant
76823,95,7,susi,3,ٱلۡأَمِينِ,ࡵ۬لۡأَمِينِ,1,diacritic_variant
76824,95,8,warsh,4,لَقَدۡ,لَقَدْ,1,identical
76824,95,8,qalun,4,لَقَدۡ,لَقَدْ,1,identical
76825,95,9,warsh,4,خَلَقۡنَا,خَلَقْنَا,1,identical
76825,95,9,qalun,4,خَلَقۡنَا,خَلَقْنَا,1,identical
76826,95,10,warsh,4,ٱلۡإِنسَٰنَ,ࡰ۬لِانسَٰنَ,1,diacritic_variant
76826,95,10,qalun,4,ٱلۡإِنسَٰنَ,ࡰ۬لْإِنسَٰنَ,1,diacritic_variant
76826,95,10,duri,4,ٱلۡإِنسَٰنَ,اَ۬لۡإِنسَٰنَ,1,diacritic_variant
76826,95,10,susi,4,ٱلۡإِنسَٰنَ,ࡱ۬لۡإِنسَٰنَ,1,diacritic_variant
76827,95,11,warsh,4,فِيٓ,فِےٓ,1,diacritic_variant
76827,95,11,qalun,4,فِيٓ,فِے,1,diacritic_variant
76827,95,11,susi,4,فِيٓ,فِي,1,diacritic_variant
76827,95,11,bazzi,4,فِيٓ,فِي,1,diacritic_variant
76828,95,12,warsh,4,أَحۡسَنِ,أَحْسَنِ,1,identical
76828,95,12,qalun,4,أَحۡسَنِ,أَحْسَنِ,1,identical
76829,95,13,warsh,4,تَقۡوِيمࣲ,تَقْوِيمࣲ,1,identical
76829,95,13,qalun,4,تَقۡوِيمࣲ,تَقْوِيمࣲ,1,identical
76829,95,13,duri,4,تَقۡوِيمࣲ,تَقۡوِيمٖ,1,identical
76831,95,15,warsh,5,رَدَدۡنَٰهُ,رَدَدْنَٰهُ,1,diacritic_variant
76831,95,15,qalun,5,رَدَدۡنَٰهُ,رَدَدْنَٰهُ,1,diacritic_variant
76831,95,15,bazzi,5,رَدَدۡنَٰهُ,رَدَدۡنَٰهُۥ,1,diacritic_variant
76832,95,16,warsh,5,أَسۡفَلَ,أَسْفَلَ,1,identical
76832,95,16,qalun,5,أَسۡفَلَ,أَسْفَلَ,1,identical
76835,95,19,warsh,6,ٱلَّذِينَ,ࡰ۬لذِينَ,1,diacritic_variant
76835,95,19,qalun,6,ٱلَّذِينَ,ࡰ۬لذِينَ,1,diacritic_variant
76835,95,19,duri,6,ٱلَّذِينَ,اَ۬لَّذِينَ,1,diacritic_variant
76835,95,19,susi,6,ٱلَّذِينَ,ࡱ۬لَّذِينَ,1,diacritic_variant
76838,95,22,warsh,6,ٱلصَّٰلِحَٰتِ,ࡲ۬لصَّٰلِحَٰتِ,1,diacritic_variant
76838,95,22,qalun,6,ٱلصَّٰلِحَٰتِ,ࡲ۬لصَّٰلِحَٰتِ,1,diacritic_variant
76838,95,22,duri,6,ٱلصَّٰلِحَٰتِ,اُ۬لصَّٰلِحَٰتِ,1,diacritic_variant
76838,95,22,susi,6,ٱلصَّٰلِحَٰتِ,ࡲ۬لصَّٰلِحَٰتِ,1,diacritic_variant
76839,95,23,warsh,6,فَلَهُمۡ,فَلَهُمُۥٓ,1,diacritic_variant
76839,95,23,qalun,6,فَلَهُمۡ,فَلَهُمْ,1,diacritic_variant
76839,95,23,bazzi,6,فَلَهُمۡ,فَلَهُمُۥ,1,diacritic_variant
76840,95,24,warsh,6,أَجۡرٌ,أَجْرٌ,1,identical
76840,95,24,qalun,6,أَجۡرٌ,أَجْرٌ,1,identical
76841,95,25,warsh,6,غَيۡرُ,غَيْرُ,1,identical
76841,95,25,qalun,6,غَيۡرُ,غَيْرُ,1,identical
76842,95,26,warsh,6,مَمۡنُونࣲ,مَمْنُونࣲ,1,identical
76842,95,26,qalun,6,مَمۡنُونࣲ,مَمْنُونࣲ,1,identical
76842,95,26,duri,6,مَمۡنُونࣲ,مَمۡنُونٖ,1,identical
76845,95,29,warsh,7,بَعۡدُ,بَعْدُ,1,identical
76845,95,29,qalun,7,بَعۡدُ,بَعْدُ,1,identical
76846,95,30,warsh,7,بِٱلدِّينِ,بِالدِّينِ,1,identical
76846,95,30,qalun,7,بِٱلدِّينِ,بِالدِّينِ,1,identical
76846,95,30,duri,7,بِٱلدِّينِ,بِالدِّينِ,1,identical
76846,95,30,susi,7,بِٱلدِّينِ,بِالدِّينِ,1,identical
76847,95,31,warsh,8,أَلَيۡسَ,أَلَيْسَ,1,identical
76847,95,31,qalun,8,أَلَيۡسَ,أَلَيْسَ,1,identical
76848,95,32,warsh,8,ٱللَّهُ,ࡰ۬للَّهُ,1,diacritic_variant
76848,95,32,qalun,8,ٱللَّهُ,ࡰ۬للَّهُ,1,diacritic_variant
76848,95,32,duri,8,ٱللَّهُ,اَ۬للَّهُ,1,diacritic_variant
76848,95,32,susi,8,ٱللَّهُ,ࡱ۬للَّهُ,1,diacritic_variant
76849,95,33,warsh,8,بِأَحۡكَمِ,بِأَحْكَمِ,1,identical
76849,95,33,qalun,8,بِأَحۡكَمِ,بِأَحْكَمِ,1,identical
76850,95,34,warsh,8,ٱلۡحَٰكِمِينَ,ࡴ۬لْحَٰكِمِينَ,1,diacritic_variant
76850,95,34,qalun,8,ٱلۡحَٰكِمِينَ,ࡴ۬لْحَٰكِمِينَ,1,diacritic_variant
76850,95,34,duri,8,ٱلۡحَٰكِمِينَ,اِ۬لۡحَٰكِمِينَ,1,diacritic_variant
76850,95,34,susi,8,ٱلۡحَٰكِمِينَ,ࡵ۬لۡحَٰكِمِينَ,1,diacritic_variant
76851,96,1,warsh,1,ٱقۡرَأۡ,ࡰٜقْرَأْ,1,diacritic_variant
76851,96,1,qalun,1,ٱقۡرَأۡ,ࡴٜقْرَأْ,1,diacritic_variant
76851,96,1,duri,1,ٱقۡرَأۡ,اِ۪قۡرَأۡ,1,diacritic_variant
76851,96,1,susi,1,ٱقۡرَأۡ,ࡵٜقۡرَأۡ,1,diacritic_variant
76852,96,2,warsh,1,بِٱسۡمِ,بِاسْمِ,1,identical
76852,96,2,qalun,1,بِٱسۡمِ,بِاسْمِ,1,identical
76852,96,2,duri,1,بِٱسۡمِ,بِاسۡمِ,1,identical
76852,96,2,susi,1,بِٱسۡمِ,بِاسۡمِ,1,identical
76854,96,4,warsh,1,ٱلَّذِي,ࡰ۬لذِے,1,diacritic_variant
76854,96,4,qalun,1,ٱلَّذِي,ࡰ۬لذِے,1,diacritic_variant
76854,96,4,duri,1,ٱلَّذِي,اَ۬لَّذِي,1,diacritic_variant
76854,96,4,susi,1,ٱلَّذِي,ࡱ۬لَّذِي,1,diacritic_variant
76857,96,7,warsh,2,ٱلۡإِنسَٰنَ,ࡰ۬لِانسَٰنَ,1,diacritic_variant
76857,96,7,qalun,2,ٱلۡإِنسَٰنَ,ࡰ۬لْإِنسَٰنَ,1,diacritic_variant
76857,96,7,duri,2,ٱلۡإِنسَٰنَ,اَ۬لۡإِنسَٰنَ,1,diacritic_variant
76857,96,7,susi,2,ٱلۡإِنسَٰنَ,ࡱ۬لۡإِنسَٰنَ,1,diacritic_variant
76858,96,8,warsh,2,مِنۡ,مِنْ,1,identical
76858,96,8,qalun,2,مِنۡ,مِنْ,1,identical
76860,96,10,warsh,3,ٱقۡرَأۡ,ࡴٜقْرَأْ,1,diacritic_variant
76860,96,10,qalun,3,ٱقۡرَأۡ,ࡴٜقْرَأْ,1,diacritic_variant
76860,96,10,duri,3,ٱقۡرَأۡ,اِ۪قۡرَأۡ,1,diacritic_variant
76860,96,10,susi,3,ٱقۡرَأۡ,ࡵٜقۡرَأۡ,1,diacritic_variant
76862,96,12,warsh,3,ٱلۡأَكۡرَمُ,ࡰ۬لَاكْرَمُ,1,diacritic_variant
76862,96,12,qalun,3,ٱلۡأَكۡرَمُ,ࡰ۬لْأَكْرَمُ,1,diacritic_variant
76862,96,12,duri,3,ٱلۡأَكۡرَمُ,اَ۬لۡأَكۡرَمُ,1,diacritic_variant
76862,96,12,susi,3,ٱلۡأَكۡرَمُ,ࡱ۬لۡأَكۡرَمُ,1,diacritic_variant
76863,96,13,warsh,4,ٱلَّذِي,ࡲ۬لذِے,1,diacritic_variant
76863,96,13,qalun,4,ٱلَّذِي,ࡲ۬لذِے,1,diacritic_variant
76863,96,13,duri,4,ٱلَّذِي,اُ۬لَّذِي,1,diacritic_variant
76863,96,13,susi,4,ٱلَّذِي,ࡲ۬لَّذِي,1,diacritic_variant
76864,96,14,susi,4,عَلَّمَ,عَلَّم,1,diacritic_variant
76865,96,15,warsh,4,بِٱلۡقَلَمِ,بِالْقَلَمِ,1,identical
76865,96,15,qalun,4,بِٱلۡقَلَمِ,بِالْقَلَمِ,1,identical
76865,96,15,duri,4,بِٱلۡقَلَمِ,بِالۡقَلَمِ,1,identical
76865,96,15,susi,4,بِٱلۡقَلَمِ,بِالۡقَلَمِ,1,identical
