word_id,sura,word_index,aya_hafs,status,rasm,missing_in,joined_in,distinct_forms,forms
9777,4,150,7,rasm_variant,الولدان,,,4,"ٱلۡوَٰلِدَانِ [hafs,shuba,bazzi]  ||  ࡰ۬لْوَٰلِدَٰنِ [warsh,qaloun]  ||  اَ۬لۡوَٰلِدَانِ [douri]  ||  ࡱ۬لۡوَٰلِدَانِ [sousi]"
9866,4,239,11,rasm_variant,ابواه,,,3,"أَبَوَاهُ [hafs,shuba,douri,sousi]  ||  أَبَوَٰهُ [warsh,qaloun]  ||  أَبَوَاهُۥ [bazzi]"
9882,4,255,11,rasm_variant,ءاباوكم,,,4,"ءَابَآؤُكُمۡ [hafs,shuba,douri,sousi]  ||  اٰبَآؤُكُمْ [warsh]  ||  ءَابَآؤُكُمْ [qaloun]  ||  ءَابَآؤُكُمُۥ [bazzi]"
9993,4,366,13,rasm_variant,يدخله,,,3,"يُدۡخِلۡهُ [hafs,shuba,douri,sousi]  ||  نُدْخِلْهُ [warsh,qaloun]  ||  يُدۡخِلۡهُۥ [bazzi]"
10010,4,383,14,rasm_variant,يدخله,,,3,"يُدۡخِلۡهُ [hafs,shuba,douri,sousi]  ||  نُدْخِلْهُ [warsh,qaloun]  ||  يُدۡخِلۡهُۥ [bazzi]"
10039,4,412,16,rasm_variant,والذان,,,5,"وَٱلَّذَانِ [hafs,shuba]  ||  وَالذَٰنِ [warsh,qaloun]  ||  وَاَلَّذَانِ [douri]  ||  وَࡱلَّذَانِ [sousi]  ||  وَٱلَّذَآنِّ [bazzi]"
10086,4,459,18,rasm_variant,الن,,,5,"ٱلَٰۡٔنَ [hafs,shuba,bazzi]  ||  ࡲ۬لَٰنَ [warsh]  ||  ࡲ۬ءَلْٰنَ [qaloun]  ||  اُ۬لَٰۡٔنَ [douri]  ||  ࡲ۬لَٰۡٔنَ [sousi]"
10165,4,538,22,rasm_variant,النسا,,,6,"ٱلنِّسَآءِ [hafs,shuba]  ||  ࡰ۬لنِّسَآءِ [warsh]  ||  ࡰ۬لنِّسَآࢇ [qaloun]  ||  اَ۬لنِّسَآ [douri]  ||  ࡱ۬لنِّسَا [sousi]  ||  ٱلنِّسَآࢇ [bazzi]"
10232,4,605,24,rasm_variant,النسا,,,6,"ٱلنِّسَآءِ [hafs,shuba]  ||  ࡰ۬لنِّسَآءِ [warsh]  ||  ࡰ۬لنِّسَآࢇ [qaloun]  ||  اَ۬لنِّسَآ [douri]  ||  ࡱ۬لنِّسَا [sousi]  ||  ٱلنِّسَآࢇ [bazzi]"
10445,4,818,33,rasm_variant,الولدان,,,4,"ٱلۡوَٰلِدَانِ [hafs,shuba,bazzi]  ||  ࡰ۬لْوَٰلِدَٰنِ [warsh,qaloun]  ||  اَ۬لۡوَٰلِدَانِ [douri]  ||  ࡱ۬لۡوَٰلِدَانِ [sousi]"
10538,4,911,36,rasm_variant,والصاحب,,,4,"وَٱلصَّاحِبِ [hafs,shuba,bazzi]  ||  وَالصَّٰحِبِ [warsh,qaloun]  ||  وَاَلصَّاحِبِ [douri]  ||  وَࡱلصَّاحِب [sousi]"
10589,4,962,39,rasm_variant,ءامنوا,,,2,"ءَامَنُواْ [hafs,shuba,qaloun,douri,sousi,bazzi]  ||  اٰمَنُواْ [warsh]"
10668,4,1041,43,rasm_variant,جا,,,3,"جَآءَ [hafs,shuba,warsh]  ||  جَا [qaloun,sousi,bazzi]  ||  جَآ [douri]"
10768,4,1141,47,rasm_variant,ادبارها,,,6,"أَدۡبَارِهَآ [hafs,shuba]  ||  أَدْبٰٜرِهَآ [warsh]  ||  أَدْبَٰرِهَا [qaloun]  ||  أَدۡب۪ارِهَآ [douri]  ||  أَدۡبٜارِهَا [sousi]  ||  أَدۡبَارِهَا [bazzi]"
10874,4,1247,54,rasm_variant,ءاتينا,,,4,"ءَاتَيۡنَآ [hafs,shuba,douri]  ||  اٰتَيْنَآ [warsh]  ||  ءَاتَيْنَا [qaloun]  ||  ءَاتَيۡنَا [sousi,bazzi]"
10884,4,1257,55,rasm_variant,ءامن,,,2,"ءَامَنَ [hafs,shuba,qaloun,douri,sousi,bazzi]  ||  اٰمَنَ [warsh]"
11152,4,1525,69,rasm_variant,النبين,,,4,"ٱلنَّبِيِّۧنَ [hafs,shuba,bazzi]  ||  ࡰ۬لنَّبِيِٕٓۑنَ [warsh,qaloun]  ||  اَ۬لنَّبِيِّۧنَ [douri]  ||  ࡱ۬لنَّبِيِّۧنَ [sousi]"
11201,4,1574,73,rasm_variant,يكن,,,2,"تَكُنۢ [hafs,bazzi]  ||  يَكُنۢ [shuba,warsh,qaloun,douri,sousi]"
11329,4,1702,77,rasm_variant,تظلمون,,,3,"تُظۡلَمُونَ [hafs,shuba,douri,sousi]  ||  تُظْلَمُونَ [warsh,qaloun]  ||  يُظۡلَمُونَ [bazzi]"
11423,4,1796,82,rasm_variant,القرءان,,,6,"ٱلۡقُرۡءَانَ [hafs,shuba]  ||  ࡰ۬لْقُرْءَانَ࣌ [warsh]  ||  ࡰ۬لْقُرْءَانَ [qaloun]  ||  اَ۬لۡقُرۡءَانَ [douri]  ||  ࡱ۬لۡقُرۡءَانَ [sousi]  ||  ٱلۡقُرَانَ [bazzi]"
11634,4,2007,91,word_boundary,ما,,douri|qaloun,1,"مَا [hafs,shuba,warsh,qaloun,douri,sousi,bazzi]"
11635,4,2008,91,word_boundary,ردوا,,douri|qaloun,2,"رُدُّوٓاْ [hafs,shuba,warsh,douri]  ||  رُدُّواْ [qaloun,sousi,bazzi]"
12190,4,2563,114,rasm_variant,نوتيه,,,6,"نُؤۡتِيهِ [hafs,shuba]  ||  نُوتِيهِ [warsh]  ||  نُؤْتِيهِ [qaloun]  ||  يُؤۡتِيهِ [douri]  ||  يُوتِيهِ [sousi]  ||  نُؤۡتِيهِۦ [bazzi]"
12878,4,3251,152,rasm_variant,نوتيهم,,,6,"يُؤۡتِيهِمۡ [hafs]  ||  نُؤۡتِيهِمۡ [shuba,douri]  ||  نُوتِيهِمُۥٓ [warsh]  ||  نُؤْتِيهِمْ [qaloun]  ||  نُوتِيهِمۡ [sousi]  ||  نُؤۡتِيهِمُۥ [bazzi]"
13085,4,3458,163,rasm_variant,والنبين,,,4,"وَٱلنَّبِيِّۧنَ [hafs,shuba,bazzi]  ||  وَالنَّبِيِٕٓۑنَ [warsh,qaloun]  ||  وَاَلنَّبِيِّۧنَ [douri]  ||  وَࡱلنَّبِيِّۧنَ [sousi]"
13354,4,3727,176,rasm_variant,الثلثان,,,4,"ٱلثُّلُثَانِ [hafs,shuba,bazzi]  ||  ࡰ۬لثُّلُثَٰنِ [warsh,qaloun]  ||  اَ۬لثُّلُثَانِ [douri]  ||  ࡱ۬لثُّلُثَانِ [sousi]"
13613,5,239,6,rasm_variant,جا,,,3,"جَآءَ [hafs,shuba,warsh]  ||  جَا [qaloun,sousi,bazzi]  ||  جَآ [douri]"
13736,5,362,12,rasm_variant,اسرءيل,,,2,"إِسۡرَٰٓءِيلَ [hafs,shuba,douri,sousi,bazzi]  ||  إِسْرَآءِيلَ [warsh,qaloun]"
13822,5,448,14,rasm_variant,العداوه,,,4,"ٱلۡعَدَاوَةَ [hafs,shuba,bazzi]  ||  ࡲ۬لْعَدَٰوَةَ [warsh,qaloun]  ||  اُ۬لۡعَدَاوَةَ [douri]  ||  ࡲ۬لۡعَدَاوَةَ [sousi]"
14007,5,633,21,rasm_variant,ادباركم,,,6,"أَدۡبَارِكُمۡ [hafs,shuba]  ||  أَدْبٰٜرِكُمْ [warsh]  ||  أَدْبَٰرِكُمْ [qaloun]  ||  أَدۡب۪ارِكُمۡ [douri]  ||  أَدۡبٜارِكُمۡ [sousi]  ||  أَدۡبَارِكُمُۥ [bazzi]"
14028,5,654,23,rasm_variant,رجلان,,,3,"رَجُلَانِ [hafs,shuba,douri,bazzi]  ||  رَجُلَٰنِ [warsh,qaloun]  ||  رَّجُلَانِ [sousi]"
14095,5,721,27,rasm_variant,ءادم,,,3,"ءَادَمَ [hafs,shuba,qaloun,douri,bazzi]  ||  اٰدَمَ [warsh]  ||  ءَادَم [sousi]"
14184,5,810,32,rasm_variant,اسرءيل,,,2,"إِسۡرَٰٓءِيلَ [hafs,shuba,douri,sousi,bazzi]  ||  إِسْرَآءِيلَ [warsh,qaloun]"
14383,5,1009,41,rasm_variant,ءاخرين,,,2,"ءَاخَرِينَ [hafs,shuba,qaloun,douri,sousi,bazzi]  ||  اٰخَرِينَ [warsh]"
14726,5,1352,53,rasm_variant,ويقول,,,3,"وَيَقُولُ [hafs,shuba]  ||  يَقُولُ [warsh,qaloun,bazzi]  ||  وَيَقُولَ [douri,sousi]"
14745,5,1371,54,rasm_variant,يرتد,,,2,"يَرۡتَدَّ [hafs,shuba,douri,sousi,bazzi]  ||  يَّرْتَدِدْ [warsh,qaloun]"
14768,5,1394,54,rasm_variant,لايم,,,4,"لَآئِمࣲ [hafs,shuba,sousi,bazzi]  ||  لَٰٓئِمࣲ࣌ [warsh]  ||  لَٰٓئِمࣲ [qaloun]  ||  لَآئِمٖ [douri]"
14845,5,1471,59,rasm_variant,ءامنا,,,2,"ءَامَنَّا [hafs,shuba,qaloun,douri,sousi,bazzi]  ||  اٰمَنَّا [warsh]"
14937,5,1563,64,rasm_variant,يداه,,,3,"يَدَاهُ [hafs,shuba,douri,sousi]  ||  يَدَٰهُ [warsh,qaloun]  ||  يَدَاهُۥ [bazzi]"
14938,5,1564,64,rasm_variant,مبسوطتان,,,2,"مَبۡسُوطَتَانِ [hafs,shuba,douri,sousi,bazzi]  ||  مَبْسُوطَتَٰنِ [warsh,qaloun]"
15071,5,1697,69,rasm_variant,ءامن,,,2,"ءَامَنَ [hafs,shuba,qaloun,douri,sousi,bazzi]  ||  اٰمَنَ [warsh]"
