number,surah,index,ayah_hafs,status,rasm,missing_in,written_joined_by,resegmented_in,distinct_forms,forms
41440,21,19,3,alif_variant,لاهٮه,,,,3,"لَاهِيَةࣰ [hafs,shubah,bazzi,susi]  ||  لَٰهِيَةࣰ [qalun,warsh]  ||  لَاهِيَةٗ [duri]"
41455,21,34,4,rasm_variant,ڡل,,,,2,"قَالَ [hafs]  ||  قُل [shubah,bazzi,qalun,warsh,duri,susi]"
41720,21,299,30,rasm_variant,اولم,,,,3,"أَوَلَمۡ [hafs,shubah,duri,susi]  ||  أَلَمۡ [bazzi]  ||  أَوَلَمْ [qalun,warsh]"
41966,21,545,50,alif_variant,مٮارك,,,,2,"مُّبَارَكٌ [hafs,shubah,bazzi,duri,susi]  ||  مُّبَٰرَكٌ [qalun,warsh]"
42212,21,791,78,alif_variant,ٮحكماں,,,,2,"يَحۡكُمَانِ [hafs,shubah,bazzi,duri,susi]  ||  يَحْكُمَٰنِ [qalun,warsh]"
42341,21,920,88,rasm_variant,ٮحى,,,,3,"نُۨجِي [hafs,bazzi,duri,susi]  ||  نُجِّي [shubah]  ||  نُنجِے [qalun,warsh]"
42770,22,180,10,alif_variant,ٮداك,,,,2,"يَدَاكَ [hafs,shubah,bazzi,duri,susi]  ||  يَدَٰكَ [qalun,warsh]"
42932,22,342,19,alif_variant,هداں,,,,3,"هَٰذَانِ [hafs,shubah,duri,susi]  ||  هَٰذَآنِّ [bazzi]  ||  هَٰذَٰنِ [qalun,warsh]"
42933,22,343,19,alif_variant,حصماں,,,,2,"خَصۡمَانِ [hafs,shubah,bazzi,duri,susi]  ||  خَصْمَٰنِ [qalun,warsh]"
43952,23,88,14,alif_variant,ڡٮٮارك,,,,2,"فَتَبَارَكَ [hafs,shubah,bazzi,duri,susi]  ||  فَتَبَٰرَكَ [qalun,warsh]"
44138,23,274,29,alif_variant,مٮاركا,,,,3,"مُّبَارَكࣰا [hafs,shubah,bazzi,susi]  ||  مُّبَٰرَكاࣰ [qalun,warsh]  ||  مُّبَارَكٗا [duri]"
44635,23,771,87,rasm_variant,لله,,,,4,"لِلَّهِ [hafs,shubah,bazzi]  ||  لِلهِ [qalun,warsh]  ||  اَ۬للَّهُ [duri]  ||  ࡱ۬للَّهُ [susi]"
44654,23,790,89,rasm_variant,لله,,,,4,"لِلَّهِ [hafs,shubah,bazzi]  ||  لِلهِ [qalun,warsh]  ||  اَ۬للَّهُ [duri]  ||  ࡱ۬للَّهُ [susi]"
44847,23,983,112,rasm_variant,ڡل,,,,3,"قَٰلَ [hafs,shubah,duri,susi]  ||  قُلۡ [bazzi]  ||  قَالَ [qalun,warsh]"
44862,23,998,114,alif_variant,ڡل,,,,2,"قَٰلَ [hafs,shubah,bazzi,duri,susi]  ||  قَالَ [qalun,warsh]"
46231,25,1,1,alif_variant,ٮٮارك,,,,2,"تَبَارَكَ [hafs,shubah,bazzi,duri,susi]  ||  تَبَٰرَكَ [qalun,warsh]"
46360,25,130,10,alif_variant,ٮٮارك,,,,2,"تَبَارَكَ [hafs,shubah,bazzi,duri,susi]  ||  تَبَٰرَكَ [qalun,warsh]"
46555,25,325,25,rasm_variant,وٮرل,,,,2,"وَنُزِّلَ [hafs,shubah,qalun,warsh,duri,susi]  ||  وَنُنزِلُ [bazzi]"
46582,25,352,28,alif_variant,ڡلاٮا,,,,2,"فُلَانًا [hafs,shubah,bazzi,duri,susi]  ||  فُلَٰناً [qalun,warsh]"
46944,25,714,61,alif_variant,ٮٮارك,,,,2,"تَبَارَكَ [hafs,shubah,bazzi,duri,susi]  ||  تَبَٰرَكَ [qalun,warsh]"
47239,26,116,17,alif_variant,اسرٮل,,,,2,"إِسۡرَٰٓءِيلَ [hafs,shubah,bazzi,duri,susi]  ||  إِسْرَآءِيلَ [qalun,warsh]"
47281,26,158,22,alif_variant,اسرٮل,,,,2,"إِسۡرَٰٓءِيلَ [hafs,shubah,bazzi,duri,susi]  ||  إِسْرَآءِيلَ [qalun,warsh]"
47521,26,398,59,alif_variant,اسرٮل,,,,2,"إِسۡرَٰٓءِيلَ [hafs,shubah,bazzi,duri,susi]  ||  إِسْرَآءِيلَ [qalun,warsh]"
47526,26,403,61,alif_variant,الحمعاں,,,,4,"ٱلۡجَمۡعَانِ [hafs,shubah,bazzi]  ||  ࡰ۬لْجَمْعَٰنِ [qalun,warsh]  ||  اَ۬لۡجَمۡعَانِ [duri]  ||  ࡱ۬لۡجَمۡعَانِ [susi]"
48279,26,1156,197,alif_variant,اسرٮل,,,,2,"إِسۡرَٰٓءِيلَ [hafs,shubah,bazzi,duri,susi]  ||  إِسْرَآءِيلَ [qalun,warsh]"
48378,26,1255,217,rasm_variant,وٮوكل,,,,2,"وَتَوَكَّلۡ [hafs,shubah,bazzi,duri,susi]  ||  فَتَوَكَّلْ [qalun,warsh]"
48679,27,238,20,word_boundary,ما,,,bazzi|duri,1,"مَا [hafs,shubah,bazzi,qalun,warsh,duri,susi]"
48680,27,239,20,word_boundary,لى,,,bazzi|duri,3,"لِيَ [hafs,shubah,bazzi]  ||  لِے [qalun,warsh]  ||  لِي [duri,susi]"
48694,27,253,21,rasm_variant,لٮاٮٮٮى,,,,5,"لَيَأۡتِيَنِّي [hafs,shubah,duri]  ||  لَيَأۡتِيَنَّنِي [bazzi]  ||  لَيَأْتِيَنِّے [qalun]  ||  لَيَاتِيَنِّے [warsh]  ||  لَيَاتِيَنِّي [susi]"
48841,27,400,35,alif_variant,ڡٮاطره,,,,2,"فَنَاظِرَةُۢ [hafs,shubah,bazzi,duri,susi]  ||  فَنَٰظِرَةُۢ [qalun,warsh]"
48852,27,411,36,rasm_variant,اٮٮں,,,,4,"ءَاتَىٰنِۦَ [hafs,duri,susi]  ||  ءَاتَىٰنِ [shubah,bazzi]  ||  ءَاتَيٰنِࣉَ [qalun]  ||  ءَاتٜيٰنِࣉَ [warsh]"
49015,27,574,45,alif_variant,ڡرٮڡاں,,,,2,"فَرِيقَانِ [hafs,shubah,bazzi,duri,susi]  ||  فَرِيقَٰنِ [qalun,warsh]"
49377,27,936,76,alif_variant,اسرٮل,,,,2,"إِسۡرَٰٓءِيلَ [hafs,shubah,bazzi,duri,susi]  ||  إِسْرَآءِيلَ [qalun,warsh]"
49644,28,52,6,alif_variant,وهمں,,,,2,"وَهَٰمَٰنَ [hafs,shubah,bazzi,duri,susi]  ||  وَهَامَٰنَ [qalun,warsh]"
